Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Abstract,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Practice/Task,Notes,Questions ,processed_abstract,x,y
DeepMorpher: deep learning-based design space dimensionality reduction for shape optimisation,"Abbas, Asad; Rafiee, Ashkan; Haase, Max",JOURNAL OF ENGINEERING DESIGN,2023,http://dx.doi.org/10.1080/09544828.2023.2192606,"In engineering design optimisations, the dimensionality of the design space plays a critical role in determining the number of computationally expensive evaluations required to explore the design space and reach convergence. Dimensionality reduction allows engineers to represent high-dimensional design spaces in a more compact form to reduce the computational cost while retaining design flexibility. In order to reduce the dimensions of design space for shape optimisation problems, we propose a deep learning-based architecture named DeepMorpher. Our proposed architecture is a PointNet-based encoder-decoder network, which can directly be trained on 3D point-cloud geometries, and generate simulation-ready high-quality geometries without any pre-processing or post-processing steps. Our proposed DeepMorpher can work with multiple baseline templates and allows explainability and disentanglement of learned low-dimensional latent space through sampling, interpolation and feature space visualisation. To evaluate our approach, we created an engineering dataset consisting of 3D ship hull designs. The quantitative and qualitative experimentation results of the present study demonstrate that DeepMorpher can outperform previous state-of-the-art autoencoder-based shape-generative models by several orders of magnitudes. To demonstrate the high representation capacity and compactness of learned low-dimensional latent space, we employed DeepMorpher within a simulation-based design optimisation framework to perform a real-world constrained multi-objective optimisation to find optimal ship hull designs.",Insudtrial Design/ Engineering design/ product design,Product-based,Image,Deep models,"Design generation, Decision making","Develop, conversion",PointNet-based autoencoder with Free-Form Deformation (FFD) branch,,engineering optimisation dimensionality space play critical role determine number expensive require explore space reach convergence dimensionality reduction allow engineer represent high dimensional space compact form reduce computational cost retain flexibility order reduce dimension space shape optimisation problem deep learning base architecture name deepmorpher architecture pointnet base encoder decoder network train point cloud geometry generate simulation ready high quality geometry pre processing post processing step proposed deepmorpher work multiple baseline template allow explainability disentanglement learn low dimensional latent space sampling interpolation feature space visualisation evaluate create engineering dataset consist ship hull quantitative qualitative experimentation demonstrate deepmorpher outperform previous state art autoencoder base shape generative order magnitude demonstrate high representation capacity compactness learn low dimensional latent space employ deepmorpher simulation base optimisation perform real world constrain multi objective optimisation find optimal ship hull,-4.8599133,1.1618223
Research on multi-objective optimisation of product form design based on kansei engineering,"Tang, Wen-Yu; Xiang, Ze-Rui; Ding, Tie-Cheng; Zhao, Xiao; Zhang, Quan; Zou, Rui",JOURNAL OF ENGINEERING DESIGN,2024,http://dx.doi.org/10.1080/09544828.2024.2355762,"It is crucial to understand and meet the multi-dimensional affective image needs of users for product form in a user demand-oriented product development model. Multi-objective evolutionary algorithms based on decomposition will be introduced into the field of kansei engineering to carry out research on product form optimisation design based on multi-objective evolutionary algorithms. A constrained multi-objective discrete optimisation model was established using the kansei engineering prediction model constructed through machine learning techniques as the objective function, and a reference vector guided evolutionary algorithm was used to solve it. The superiority of this method was verified by comparing it with other commonly used solving methods in this field. Combining entropy weight method and TOPSIS, select the optimisation design scheme that best meets the multi-dimensional affective needs of users from the obtained pareto set. Taking the train as an example, the proposed method was explained. The results indicate that the optimisation scheme obtained by this method can achieve the improvement and optimisation of product form in multiple affective dimensions. Meanwhile, a comparative study on the applicability of multi-objective evolutionary algorithms in the form optimisation problem of different affective dimensions is carried out to provide reference and suggestions for subsequent product design research.",Insudtrial Design/ Engineering design/ product design,Perception,text,"Traditional ML -SVM, RF, XGBoost
"," Prediction, Decision making",develop ,ML prediction + MOEA‑based Kansei-driven multi-objective optimisation,numerical preference scores / tabular variables is it text?,crucial understand meet multi dimensional affective image need form demand orient development multi objective evolutionary base decomposition introduce field engineer carry form optimisation base multi objective evolutionary constrained multi objective discrete optimisation establish kansei engineering prediction construct machine learn objective function reference vector guide evolutionary solve superiority verify compare solve field combine entropy weight topsis select optimisation scheme good meet multi dimensional affective need obtain pareto set take train example explain indicate optimisation scheme obtain achieve improvement optimisation form multiple affective dimension comparative applicability multi objective evolutionary form optimisation problem different affective dimension carry provide reference suggestion subsequent,-3.3502536,3.0487328
User requirement modeling and evolutionary analysis based on review data: Supporting the design upgrade of product attributes,"Zhang, Yuanrong; Guo, Wei; Chang, Zhixing; Ma, Jian; Fu, Zhonglin; Wang, Lei; Shao, Hongyu",ADVANCED ENGINEERING INFORMATICS,2024,http://dx.doi.org/10.1016/j.aei.2024.102861,"In recent years, an increasing number of studies have focused on user requirement modeling based on online review texts. However, traditional methods often overlook the integration of user requirement models with product design frameworks, failing to effectively transform dynamically changing user requirements into a basis for product attribute upgrades. This paper proposes a user requirement modeling and evolutionary analysis method based on review data, supporting the design upgrade of product attributes. This approach differs from traditional user requirement modeling and analysis methods in two main aspects: (1) integrating the designer's product design framework into the classification and modeling of user requirements; (2) analyzing the dynamic changes in user requirements during product upgrades and formulating new product attribute upgrade strategies. Initially, the study extracts three categories of product attributes that designers are concerned about from the review data: function (F), structure (S), and parameters (P), and establishes a correlation model between these product attributes. Subsequently, using natural language processing technology to calculate sentiment scores for product attributes and employing the Multi-Layer Perceptron (MLP) model to analyze the impact of product attribute sentiment on user satisfaction, the study constructs the FSP-Kano model, achieving classification and modeling of user requirements for these three categories of product attributes. Finally, based on the dynamic changes in user requirements within the FSP-Kano model, strategies for upgrading next-generation products are formulated. Additionally, the study illustrates the proposed method with the example of BYD's Qin series of new energy vehicles. Our research demonstrates that the proposed method can accurately and comprehensively extract user requirements and develop successful product attribute improvement strategies for the next generation of products.",Insudtrial Design/ Engineering design/ product design,Perception,Text,"Traditional ML, Exploratory data analysis","Prediction, sense making",Develop,Rule-based NLP + sentiment importance scoring + Kano-based evolutionary attribute classification,text mining & sentiment scoring? traditional ml? data analytics? is kano eda?,recent year increase number focus requirement modeling base online review text traditional overlook integration requirement fail transform change requirement basis attribute upgrade requirement modeling evolutionary base review datum support upgrade attribute differ traditional requirement modeling main aspect integrate designer classification modeling requirement analyze dynamic change requirement upgrade formulate new attribute upgrade strategy extract category attribute designer concern review datum function structure parameter establish correlation attribute natural language processing technology calculate sentiment score attribute employ multi layer perceptron mlp analyze impact attribute sentiment satisfaction construct kano achieve classification modeling requirement category attribute base dynamic change requirement kano strategy upgrade generation formulate illustrate example series new energy vehicle demonstrate extract requirement successful attribute improvement strategy generation,-3.186551,-0.26154545
Research on Product Conceptual Design Scheme Configurations from a Designer-User Conflict Perspective,"Shao, Hongyu; Pan, Sizhe; Song, Yufei; Li, Quanfu",APPLIED SCIENCES-BASEL,2024,http://dx.doi.org/10.3390/app14072968,"In the context of rapid product iteration, design conflicts arise from discrepancies in designers' understanding of user needs, influenced by subjective preferences, behavioural stances, and other factors. This paper proposes a product conceptual design approach based on the design conflict perspective. First, user comments and design documents are collected. Natural language processing (NLP) methods, including cleaning, filtering, lexical segmentation, feature clustering, and sentiment analysis, are employed to identify design themes. The intuitionistic fuzzy sets (IFSs) and term frequency-inverse document frequency (TF-IDF) algorithms are then utilized to obtain evaluation matrices for the products from both users and designers. Subsequently, design conflicts between users and designers are calculated, and an optimal configuration for product conceptual design is determined through regression analysis and planning methods. Finally, the proposed method is validated using a mobile phone as a product example, and suggestions for product improvement are presented. The results indicate that considering design conflicts as a factor in product design and synthesizing designer and user product concepts enhance the accuracy and reliability of product conceptual design generation. The findings of this study offer new insights into the conceptual design configuration for product iteration.",Insudtrial Design/ Engineering design/ product design,Product-based，Perception,Text,Traditional ML,Sense making,Develop,"NLP techniques like TF-IDF, combined with intuitionistic fuzzy sets, to analyze and resolve conflicts between designer and user concepts in product design.",,context rapid iteration conflict arise discrepancy designer understanding need influence subjective preference behavioural stance factor conceptual base conflict perspective comment document collect natural language processing include cleaning filtering lexical segmentation feature clustering sentiment employ identify theme intuitionistic fuzzy set ifss term frequency inverse document frequency utilize obtain matrix designer conflict designer calculate optimal configuration conceptual determine regression planning validate mobile phone example suggestion improvement indicate consider conflict factor synthesize designer concept enhance accuracy reliability conceptual generation finding offer new insight conceptual configuration iteration,-2.4557312,-0.3035784
Bridging the Semantic Gap Between Customer Needs and Design Specifications Using User-Generated Content,"Wang, Yue; Luo, Linkai; Liu, Hai",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2022,http://dx.doi.org/10.1109/TEM.2020.3021698,"Although product design has been considered as a collaborative activity, progress in developing methods to facilitate the design process has been hampered by difficulties in building common bases among various stakeholders. Customers may only have general needs of the product in layman's terms instead of the sufficient domain knowledge to identify the product specifications. Thus, there is a great need in design research to translate the expressed needs in natural language to design specifications and bridge this semantic gap. By leveraging the massive amount of online user-generated content, we develop a deep learning-based method to automatically identify product design parameters or product specifications. Specifically, we crawl product review data and the corresponding product metadata from e-commerce websites. A convolutional neural network based solution is provided to map product reviews to product specifications. Experimental results show that the method can be well adapted to the mapping from customer needs in the natural language to product specifications. The method facilitates product design by addressing the semantic gap between general customer needs and detailed product specifications. In addition, the automated mapping greatly improves the efficiency and reduces labor in the design process.",Insudtrial Design/ Engineering design/ product design,Perception,Text,Deep models,"Sense making, Prediction",Define / Develop,"CNN-based model (transfer learning) to map review text → product specs, bridging semantic gap between needs and specs",transfer learning?,consider collaborative activity progress facilitate hamper difficulty build common basis stakeholder customer general need layman term sufficient domain knowledge identify specification great need translate express need natural language specification bridge semantic gap leverage massive online generate content deep learning base identify parameter specification crawl review datum correspond metadata commerce website convolutional neural network base solution provide map review specification experimental adapt mapping customer need natural language specification facilitate address semantic gap general customer need detailed specification addition automate mapping improve efficiency reduce labor,-3.243764,-1.112637
Differentiating online products using customer perceptions of sustainability,"El Dehaibi, Nasreddine; MacDonald, Erin F.",DESIGN SCIENCE,2022,http://dx.doi.org/10.1017/dsj.2022.14,"Customers make quick judgments when shopping online based on how they perceive product design features. These features can be visual such as material or can be descriptive like a 'nice gift'. Relying on feature perceptions can save customers time but can also mislead them to make uninformed purchase decisions, for example, related to sustainability. In a previous study, we developed a method to extract product design features perceived as sustainable from Amazon reviews, identifying that customer perceptions of product sustainability may differ from engineered sustainability. We previously crowdsourced annotations of French press reviews and used a natural language processing algorithm to extract the features. While these features may not contribute to engineered sustainability, customers identify the features as sustainable enabling them to make informed purchase decisions. In this study, we validate how our previously developed method can be generalised by testing it with electric scooters and baby glass bottles. Features perceived as sustainable for both products are extracted and second, participants are tested on interpreting the features using a novel collage approach. Participants placed products on a set of two axes and selected features from a list. Our results confirm that the proposed method is effective for identifying features perceived as sustainable, and that it can generalise for different products with limitations. Positively biased Amazon reviews can limit the natural language processing performance. We recommend that designers use our method when designing products to capture feature perceptions and help inform customer-oriented design decisions.",Insudtrial Design/ Engineering design/ product design,Perception,Text,"Traditional ML, exploratory data analysis","Sense making, prediction",develope,Crowdsourced annotations + NLP (logistic classifier) to extract perceived sustainable features (PerSFs); validated via user collage method,Does the collage validation count as exploratory data analysis?,customer quick judgment shop base perceive feature feature visual material descriptive nice gift rely feature perception save customer time mislead uninformed purchase decision example relate sustainability previous extract feature perceive sustainable amazon review identify customer perception sustainability differ engineer sustainability crowdsource annotation french press review natural language processing extract feature feature contribute engineer sustainability customer identify feature sustainable enable informed purchase decision validate generalise test electric scooter baby glass bottle feature perceive sustainable extract second participant test interpret feature novel collage participant place set axis select feature list confirm effective identify feature perceive sustainable generalise different limitation biased amazon review limit natural language processing recommend designer use capture feature perception help inform customer orient decision,-2.753775,-1.1640693
A smart conflict resolution model using multi-layer knowledge graph for conceptual design,"Huang, Zechuan; Guo, Xin; Liu, Ying; Zhao, Wu; Zhang, Kai",ADVANCED ENGINEERING INFORMATICS,2023,http://dx.doi.org/10.1016/j.aei.2023.101887,"Reducing the impact of conflicts on requirement-function-structure mapping in the early stage of product design is an important measure to achieve conceptual innovation, which relies on accurate reasoning of multi-domain knowledge. As product requirements become more personalized and diverse, traditional discrete knowledge organization and reasoning methods are difficult to adapt to the challenges of continuity and precision in conceptual solution. Knowledge graphs with complex networks have obvious advantages in association detection, knowledge visualization, and explainable reasoning of implicit knowledge, which offer innovative opportunities for conflict resolution in conceptual design. Therefore, a smart conflict resolution model using a multi-layer Knowledge Graph for Conceptual Design(mKGCD) is proposed in this study. A knowledge expression form of FBS-oriented design patent vocabulary is proposed, which is used for knowledge entity recognition and relation extraction based on natural language processing. A label mapping method based on inventive principles is used for patent classification and a four-layer semantic network for conflict resolution is constructed. Through semantic distance calculation, the designer's requirements for function/behavior/structure are smart deployed to obtain appropriate knowledge. A case study of the conceptual design of a collapsible installation and handling equipment demonstrates the feasibility of the proposed approach. The proposed method can not only meet the functional solution and innovation in the context of different design requirements, but also effectively improve the design efficiency in the iterative design process by means of multiple meanings of one graph.",Insudtrial Design/ Engineering design/ product design,Product-based,Text,"Deep models, Exploratory data analysis","Sense making, decision making",define ,"Multi-layer knowledge graph based on FBS vocabulary, NLP entity/relationship extraction, semantic distance reasoning",,reduce impact conflict requirement function structure mapping early stage important measure achieve conceptual innovation rely accurate reasoning multi domain knowledge requirement personalized diverse traditional discrete knowledge organization reasoning difficult adapt challenge continuity precision conceptual solution knowledge graph complex network obvious advantage association detection knowledge visualization explainable reasoning implicit knowledge offer innovative opportunity conflict resolution conceptual smart conflict resolution multi layer knowledge graph conceptual knowledge expression form fbs orient patent vocabulary knowledge entity recognition relation extraction base natural language processing label mapping base inventive principle patent classification layer semantic network conflict resolution construct semantic distance calculation designer requirement function behavior structure smart deploy obtain appropriate knowledge case conceptual collapsible installation handling equipment demonstrate feasibility meet functional solution innovation context different requirement improve efficiency iterative mean multiple meaning graph,-3.5577095,-0.19214699
Ecological network evolution analysis in collective intelligence design ecosystem,"Fu, Zhong-Lin; Guo, Wei; Wang, Lei; Ma, Jian; Shi, Li-Wen; Lin, Mao",ADVANCED ENGINEERING INFORMATICS,2023,http://dx.doi.org/10.1016/j.aei.2023.102150,"With the arrival of the AI era, traditional product design, which relied on professional designers, has transformed into participatory design, which depends on the intellect of the public. Collective intelligence design (CID) is a novel paradigm that depends on pooling and releasing the intelligence of the masses to drive product design. Because the CID's open, shared, and collaborative characteristics are similar to those of natural ecosystems, an analogy can be drawn and the concept of a collective intelligence design ecosystem (CIDE) proposed. The CIDE is a dynamic system that evolves with the iteration of the product design process. Sensing the evolutionary state of CIDE and identifying factors that threaten CIDE instability can provide targeted recommendations for rapid and accurate improvement of CIDE's adaptive capacity. However, the problem has yet to be effectively solved. Therefore, this research provides a comprehensive assessment index system based on an ecological network model that can completely measure the evolutionary condition of CIDE. The method's effectiveness was validated by applying it to the Zhubajie platform, China's largest CID platform. The conclusions provide a new perspective for perceiving the evolutionary state of CIDE.",Insudtrial Design/ Engineering design/ product design,Behavioral-based,Time Series,Exploratory data analysis,Sense making,discovery,Ecological network evolution analysis of a design platform; temporal network metrics / community dynamics for insight,,arrival era traditional rely professional designer transform participatory depend intellect public collective intelligence cid novel paradigm depend pool release intelligence masse drive cid open share collaborative characteristic similar natural ecosystem analogy draw concept collective intelligence ecosystem cide cide dynamic evolve iteration sense evolutionary state cide identify factor threaten cide instability provide target recommendation rapid accurate improvement cide adaptive capacity problem solve provide comprehensive assessment index base ecological network measure evolutionary condition cide effectiveness validate apply large cid platform conclusion provide new perspective perceive evolutionary state cide,-2.9926817,0.257636
Effective design knowledge abstraction from Chinese patents based on a meta-model of the patent design knowledge graph,"Sun, Yindi; Liu, Wei; Cao, Guozhong; Peng, Qingjin; Gu, Jianjie; Fu, Jiaming",COMPUTERS IN INDUSTRY,2022,http://dx.doi.org/10.1016/j.compind.2022.103749,"Patent document is one of the most important sources of knowledge for engineering design. Design for patentability has become increasingly important for the success of product in the competitive market. However, language differences hinder the effective extraction of design knowledge from patent databases of different countries using existing patent analysis methods. This paper proposes a new approach to build the patent design knowledge graph to extract useful design information from Chinese patent texts by using natural language processing techniques. A meta-model of the patent design knowledge graph is built based on the language characteristics of Chinese. The proposed method is verified using randomly selected patent text for the effective extraction of Chinese patent design knowledge. The feasibility of the proposed method is further tested to support design of a new storage device for the patentability.(c) 2022 Elsevier B.V. All rights reserved.",Insudtrial Design/ Engineering design/ product design,Product-based,Text,"Traditional ML, exploratory data analysis","sense making, design generation",develop,NLP-based extraction of entities/relations; meta-model for patent design KG abstraction and knowledge abstraction for design reuse,,patent document important source knowledge engineering patentability important success competitive market language difference hinder effective extraction knowledge patent database different country exist patent new build patent knowledge graph extract useful information chinese patent text natural language processing meta patent knowledge graph build base language characteristic verify select patent text effective extraction chinese patent knowledge feasibility test support new storage device patentability.(c elsevi right reserve,-3.8477433,-0.5322929
Identifying Brand Consistency by Product Differentiation Using CNN,"Wang, Hung-Hsiang; Chen, Chih-Ping",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,2024,http://dx.doi.org/10.32604/cmes.2024.047630,"This paper presents a new method of using a convolutional neural network (CNN) in machine learning to identify brand consistency by product appearance variation. In Experiment 1, we collected fifty mouse devices from the past thirty-five years from a renowned company to build a dataset consisting of product pictures with pre -defined design features of their appearance and functions. Results show that it is a challenge to distinguish periods for the subtle evolution of the mouse devices with such traditional methods as time series analysis and principal component analysis (PCA). In Experiment 2, we applied deep learning to predict the extent to which the product appearance variation of mouse devices of various brands. The investigation collected 6,042 images of mouse devices and divided them into the Early Stage and the Late Stage. Results show the highest accuracy of 81.4% with the CNN model, and the evaluation score of brand style consistency is 0.36, implying that the brand consistency score converted by the CNN accuracy rate is not always perfect in the real world. The relationship between product appearance variation, brand style consistency, and evaluation score is beneficial for predicting new product styles and future product style roadmaps. In addition, the CNN heat maps highlight the critical areas of design features of different styles, providing alternative clues related to the blurred boundary. The study provides insights into practical problems for designers, manufacturers, and marketers in product design. It not only contributes to the scientific understanding of design development, but also provides industry professionals with practical tools and methods to improve the design process and maintain brand consistency. Designers can use these techniques to find features that influence brand style. Then, capture these features as innovative design elements and maintain core brand values.",Insudtrial Design/ Engineering design/ product design,Product-based,Image,Deep models (CNN),"Prediction, Sense making",develop,"CNN trained on 6,042 images (early vs. late stage mice); heat maps highlight brand-specific design features",,new convolutional neural network machine learn identify brand consistency appearance variation collect mouse device past year renowned company build dataset consist picture pre -define feature appearance function challenge distinguish period subtle evolution mouse device traditional time series principal component pca apply deep learning predict extent appearance variation mouse device brand investigation collect image mouse device divide early stage late stage high accuracy score brand style consistency imply brand consistency score convert rate perfect real world relationship appearance variation brand style consistency score beneficial predict new style future style roadmap addition heat map highlight critical area feature different style provide alternative clue relate blurred boundary provide insight practical problem designer manufacturer marketer contribute scientific understanding development provide industry professional practical tool improve maintain brand consistency designer use find feature influence brand style capture feature innovative element maintain core brand value,-3.6116564,1.5285203
