community_id,size,keywords,dominant_ai_methods,dominant_design_tasks
16,1,dimensional,,
17,1,optimisation,,
18,1,high,,
1,19,objective; multi; multi objective; users; technology; multimodal; model; deep; deep learning; loss; emotional; emotion; pso; speech; emotion recognition; recognition; interaction; physiological; interaction design,,
19,1,affective,,
0,30,evolutionary; product; product attributes; attributes; modeling; iteration; frequency; designers; specifications; product specifications; needs; customer needs; features; platform; brand; consistency; devices; style; image; color; optimization; computational; visual; customer; product development; designs; framework; aesthetic; machine learning; opinions,,
20,1,form,,
21,1,scheme,,
2,17,user; requirements; language; phase; llms; interface; user interface; conversational; app; mobile; feedback; interfaces; mobile conversational; generational; inter; inter cross; apps,,
10,2,conceptual design; conceptual,,
22,1,semantic,,
5,4,sustainable; customers; products; reviews,,
23,1,make,,
6,4,knowledge; patent; graph; knowledge graph,,
24,1,smart,,
3,14,intelligence; ai generated; artificial intelligence; generated; ai technology; problem; learn; human; trained; artificial; experience; use ai; prototype; experiences,,
25,1,important,,
26,1,device,,
27,1,appearance,,
28,1,terms,,
29,1,search,,
30,1,natural,,
11,2,concept; concepts,,
31,1,given,,
32,1,gap,,
33,1,solutions,,
34,1,innovative,,
35,1,ability,,
36,1,power,,
37,1,drawing,,
38,1,hand,,
39,1,augmented,,
40,1,creative,,
41,1,similar,,
42,1,images,,
43,1,recognizing,,
44,1,key,,
45,1,eeg,,
46,1,human factors,,
47,1,manufacturing,,
48,1,stage,,
4,8,generation; support; models; decision; making; generative; tasks; decision making,,
49,1,error,,
50,1,resources,,
51,1,ii,,
52,1,sub,,
12,2,reinforcement; reinforcement learning,,
53,1,different,,
54,1,software,,
55,1,opportunities,,
56,1,work,,
13,2,effects; groups,,
57,1,variables,,
58,1,decomposition,,
59,1,engineering design,,
9,3,components; development; developers,,
60,1,virtual,,
61,1,learning,,
62,1,properties,,
63,1,real,,
7,3,specific; domain; domain specific,,
64,1,input,,
65,1,classification,,
66,1,seven,,
67,1,automation,,
68,1,self,,
8,3,exploration; shape; aigc,,
69,1,impact,,
70,1,supported,,
71,1,text,,
14,2,agent; policy,,
72,1,functions,,
73,1,enhance,,
74,1,new,,
75,1,prompt,,
76,1,ideas,,
77,1,topology,,
78,1,gan,,
79,1,social,,
80,1,health,,
81,1,algorithm,,
82,1,reading,,
83,1,issue,,
84,1,electric,,
85,1,learning model,,
86,1,tool,,
87,1,interactive,,
15,2,module; vehicle,,
88,1,developed,,
89,1,services,,
90,1,service,,
91,1,behaviors,,
92,1,focus,,
93,1,chi,,
94,1,class,,
95,1,challenges,,
96,1,human computer interaction,,
