keyword,frequency,dominant_ai_method,dominant_design_task,community,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality
dimensional,2,,,16,0,0.0,0.0,2.6733048236102915e-77
optimisation,3,,,17,0,0.0,0.0,2.6733048236102915e-77
high,2,,,18,0,0.0,0.0,2.6733048236102915e-77
objective,2,,,1,2,0.0,0.1005667979331224,0.004138931848203392
affective,2,,,19,0,0.0,0.0,2.6733048236102915e-77
evolutionary,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
multi,3,,,1,3,0.009530715839635346,0.12670280191574176,0.023227198612344468
multi objective,2,,,1,2,0.0,0.1005667979331224,0.004138931848203392
form,2,,,20,0,0.0,0.0,2.6733048236102915e-77
product,22,,,0,30,0.1347482647881487,0.2105764876909511,0.2399327361989602
scheme,2,,,21,0,0.0,0.0,2.6733048236102915e-77
product attributes,2,,,0,2,0.0,0.14705833402679536,0.04275949738291945
user,15,,,2,18,0.13190976898373566,0.22426395939086294,0.3382265927223889
attributes,2,,,0,2,0.0,0.14705833402679536,0.04275949738291945
requirements,4,,,2,1,0.0,0.1530812009493945,0.051154895100618054
modeling,4,,,0,1,0.0,0.14657775123585814,0.036291710731551324
conceptual design,2,,,10,1,0.0,0.005076142131979695,2.0683694239762005e-51
conceptual,4,,,10,1,0.0,0.005076142131979695,2.0683694239762005e-51
iteration,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
frequency,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
designers,6,,,0,1,0.0,0.14657775123585814,0.036291710731551324
users,4,,,1,2,0.0,0.15682794362997407,0.07313012647405215
specifications,3,,,0,4,0.0,0.1480290160995795,0.0664418750098682
product specifications,2,,,0,4,0.0,0.1480290160995795,0.0664418750098682
needs,2,,,0,4,0.0,0.1480290160995795,0.0664418750098682
customer needs,2,,,0,4,0.0,0.1480290160995795,0.0664418750098682
semantic,3,,,22,0,0.0,0.0,2.6733048236102915e-77
features,6,,,0,2,0.004817155288511343,0.14754207854662035,0.03714149579828676
sustainable,3,,,5,3,0.0,0.11442038744431782,0.017459190398107075
customers,3,,,5,4,0.004713560551124003,0.14901259760190227,0.048982684611761126
products,2,,,5,3,0.0,0.11442038744431782,0.017459190398107075
reviews,3,,,5,4,0.004713560551124003,0.14901259760190227,0.048982684611761126
make,2,,,23,0,0.0,0.0,2.6733048236102915e-77
knowledge,7,,,6,3,2.589868434683518e-05,0.015228426395939087,8.16439780409793e-30
smart,2,,,24,0,0.0,0.0,2.6733048236102915e-77
patent,4,,,6,2,0.0,0.011421319796954314,6.374569177939679e-30
graph,3,,,6,3,2.589868434683518e-05,0.015228426395939087,8.16439780409793e-30
platform,3,,,0,1,0.0,0.14657775123585814,0.036291710731551324
intelligence,3,,,3,2,0.0,0.13076615707922037,0.02439911310207578
knowledge graph,2,,,6,2,0.0,0.011421319796954314,6.374569177939679e-30
language,4,,,2,1,0.0,0.1530812009493945,0.051154895100618054
important,2,,,25,0,0.0,0.0,2.6733048236102915e-77
device,2,,,26,0,0.0,0.0,2.6733048236102915e-77
brand,3,,,0,2,0.004817155288511343,0.14754207854662035,0.03714149579828676
consistency,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
devices,2,,,0,1,0.0,0.11297932463015765,0.005618001584632697
appearance,2,,,27,0,0.0,0.0,2.6733048236102915e-77
style,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
technology,5,,,1,2,0.0,0.12888733298325455,0.03502629331157054
terms,2,,,28,0,0.0,0.0,2.6733048236102915e-77
search,3,,,29,0,0.0,0.0,2.6733048236102915e-77
image,4,,,0,2,0.0,0.14705833402679536,0.04275949738291945
color,4,,,0,2,0.0,0.14705833402679536,0.04275949738291945
natural,2,,,30,0,0.0,0.0,2.6733048236102915e-77
optimization,5,,,0,2,0.004817155288511343,0.14754207854662035,0.03714149579828676
concept,2,,,11,1,0.0,0.005076142131979695,2.0683694239762005e-51
concepts,2,,,11,1,0.0,0.005076142131979695,2.0683694239762005e-51
given,2,,,31,0,0.0,0.0,2.6733048236102915e-77
phase,4,,,2,1,0.0,0.1530812009493945,0.051154895100618054
computational,3,,,0,1,0.0,0.11297932463015765,0.005618001584632697
gap,2,,,32,0,0.0,0.0,2.6733048236102915e-77
solutions,2,,,33,0,0.0,0.0,2.6733048236102915e-77
innovative,3,,,34,0,0.0,0.0,2.6733048236102915e-77
ability,2,,,35,0,0.0,0.0,2.6733048236102915e-77
power,2,,,36,0,0.0,0.0,2.6733048236102915e-77
multimodal,4,,,1,2,0.004817155288511343,0.10310986638660365,0.003481160406871116
drawing,2,,,37,0,0.0,0.0,2.6733048236102915e-77
hand,2,,,38,0,0.0,0.0,2.6733048236102915e-77
augmented,2,,,39,0,0.0,0.0,2.6733048236102915e-77
creative,2,,,40,0,0.0,0.0,2.6733048236102915e-77
model,8,,,1,4,0.006849338720259678,0.13000809240050026,0.02583699408613539
deep,6,,,1,3,0.012653233882385434,0.15519997189679097,0.039190509116459306
similar,2,,,41,0,0.0,0.0,2.6733048236102915e-77
deep learning,6,,,1,3,0.006198418453675887,0.13038602290166448,0.013237128625283515
images,3,,,42,0,0.0,0.0,2.6733048236102915e-77
recognizing,2,,,43,0,0.0,0.0,2.6733048236102915e-77
key,2,,,44,0,0.0,0.0,2.6733048236102915e-77
loss,2,,,1,1,0.0,0.11741568554495442,0.0059279199902756465
eeg,2,,,45,0,0.0,0.0,2.6733048236102915e-77
human factors,2,,,46,0,0.0,0.0,2.6733048236102915e-77
manufacturing,3,,,47,0,0.0,0.0,2.6733048236102915e-77
stage,2,,,48,0,0.0,0.0,2.6733048236102915e-77
emotional,4,,,1,1,0.0,0.10263796768460547,0.003401528610787287
visual,3,,,0,1,0.0,0.14657775123585814,0.036291710731551324
ai generated,2,,,3,2,0.0,0.13076615707922037,0.03231713675146563
artificial intelligence,13,,,3,15,0.061100176111053554,0.17869638198475135,0.136923221023806
generated,4,,,3,3,0.0017213992195863129,0.16489997014034039,0.07675156705337376
ai technology,2,,,3,1,0.0,0.13038602290166448,0.02070887931559359
customer,4,,,0,1,0.0,0.14657775123585814,0.036291710731551324
generation,4,,,4,2,0.004817155288511343,0.11741568554495442,0.0046387085146249755
error,2,,,49,0,0.0,0.0,2.6733048236102915e-77
resources,2,,,50,0,0.0,0.0,2.6733048236102915e-77
emotion,6,,,1,6,0.01615128284816464,0.13038602290166448,0.022490211724112145
ii,2,,,51,0,0.0,0.0,2.6733048236102915e-77
sub,3,,,52,0,0.0,0.0,2.6733048236102915e-77
problem,4,,,3,2,0.004817155288511343,0.13114851426366253,0.021193683505569525
reinforcement,4,,,12,1,0.0,0.005076142131979695,2.0683694239762005e-51
reinforcement learning,4,,,12,1,0.0,0.005076142131979695,2.0683694239762005e-51
learn,2,,,3,1,0.0,0.10310986638660365,0.003205429596506253
different,2,,,53,0,0.0,0.0,2.6733048236102915e-77
product development,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
software,5,,,54,0,0.0,0.0,2.6733048236102915e-77
opportunities,2,,,55,0,0.0,0.0,2.6733048236102915e-77
work,3,,,56,0,0.0,0.0,2.6733048236102915e-77
designs,4,,,0,3,0.01521116060637453,0.16192343638329454,0.047398205897544426
framework,4,,,0,2,0.0,0.15101950127330838,0.04346109855498709
support,4,,,4,2,0.014140681653372008,0.11865817957188514,0.004643921539286262
aesthetic,2,,,0,1,0.0,0.14657775123585814,0.036291710731551324
models,5,,,4,5,0.03326254359611865,0.1541333054232735,0.029967808875509455
effects,2,,,13,1,0.0,0.005076142131979695,2.0683694239762005e-51
variables,2,,,57,0,0.0,0.0,2.6733048236102915e-77
groups,2,,,13,1,0.0,0.005076142131979695,2.0683694239762005e-51
decomposition,2,,,58,0,0.0,0.0,2.6733048236102915e-77
engineering design,2,,,59,0,0.0,0.0,2.6733048236102915e-77
