Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,,,,,"This research explores the interaction design of the main control human-machine interaction interfaces (HMIs) for intelligent electric vehicles (EVs) by integrating neural network predictions with genetic algorithm optimizations. This study analyzed primary HMIs for intelligent electric vehicles (EVs) using established guidelines, industry standards, and the Electric Vehicle UI Design Specification. The 15 items were categorized into five factors: Factor 1: Layout mode, Factor 2: Interactive mode, Factor 3: Color mode, Factor 4: Feedback mode, Factor 5: Prompt model.","The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. Real-time EEG data acquisition can accurately monitor the driver's cognitive state during operation.","The data collection procedure involved participants wearing the Mindwave EEG device and starting the data collection app on a PC. The collected data included EEG raw data and five sub-frequency types: Delta, Theta, Alpha, Beta, Gamma, and e-Sense. The experimental setup defined specific parameters for EEG data collection: a sampling rate of 512 Hz to ensure high-resolution data capture. The headset displayed the virtual driving environment, overlaying the AR HMI onto the physical control screens of the EV.","This study utilizes a brain—computer interface (BCI)—based deep neural network (DNN) and genetic algorithm (GA) method. The deep neural network (DNN) topology linking HMI visual coding to e-Sense prediction comprises three layers: an input layer with 26 neurons, three fully connected hidden layers, and an output layer with one neurone. The network utilized rectified linear unit (ReLU) activation functions across the hidden layers, with a regression layer at the output. Deep neural networks (DNNs) play a key role in the personalized human-machine interaction interfaces (HMIs) of intelligent electric vehicles. By analyzing complex user data, interactions are customized, the learning environment is optimized, and the user experience is enhanced.","The DNN interpreted EEG data to provide insights into cognitive and attention states, which were used as inputs for the GA. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. This iterative process identified the most effective HMI configurations.","This iterative process identified the most effective HMI configurations. The GA applied evolutionary processes to a population of HMI designs, with fitness evaluated based on DNN predictions. After 185 iterations, the optimal individual was identified with a preference score of approximately 5.570. The simulation involved driving on a straight, two-lane city road for 5 min at a speed of 30 km/h. Participants included 32 university students (18 males, 14 females) aged 19 to 25, all specializing in product design.","This research identified essential HMI elements for intelligent electric vehicles to understand user interaction needs. The developed DNN-GA analyzed user behavior patterns from EEG data to predict preferences and attention levels during driving. These predictions guided the GA in optimizing HMI layouts. In this experiment, EEG data were measured using an AR system integrated into a real vehicle cockpit environment, providing an immersive and realistic driving experience. Participants sequentially interacted with the AR HMI prototype's main control interface, performing tasks such as adjusting the rearview mirror, turning on driving lights, adjusting the seat, closing the sunshade, activating the 360° driving camera, turning on music, and, finally, opening the map. This setup ensured a realistic and interactive evaluation of the HMI design.",Analyzed by PDF Analyzer on 2025-10-22,
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,,,,,"In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. Computer-aided design (CAD) and engineering (CAE) tools accelerate various tasks in the automotive development process, particularly through virtual prototyping.","In automotive digital development, engineers utilize multiplevirtualprototypingtoolstodesignandassesstheperformanceof3Dshapes. We envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. We evaluate the accuracy of the multi-output surrogate model for predicting performance metrics of 3D car designs from the learned latent representations.","3D point clouds which are a list of data point coordinates in 3D space are sampled directly from the surface of the CAE models, require less pre-processing effort, and preserve enough geometric details. We sample 3500 shapes from the car class and each shape consists of 24578 points.","Geometric deep-generative models, like autoencoders (AEs)[1] and variational autoencoders (VAEs) [2] learn low-dimensional latent representations of 3D geometric models in an unsupervised fashion, which allows to efficiently explore the learned design features and generate novel realistic 3D designs [3], [4]. Furthermore, the latent space of autoencoders has also been utilized for many predictive tasks in the chemistry and biology domain[5], allowing the assessment of the chemical compounds before committing to an expensive synthesis.","we use machine learning-based surrogate models to predict the performances of car shapes based on the low-dimensional representation learned by 3D point cloud (variational) autoencoders. Furthermore, we exploit the stochastic nature of the representation learned by variational autoencoders to augment the training data for our surrogate models. We utilize the regularized latent space of a variational point cloud autoencoder for fast design prototyping and data augmentation.","In automotive digital development, engineers utilize multiple virtual prototyping tools to design and assess the performance of 3D shapes. However, accurate performance simulations are computationally expensive and time-consuming, which may be prohibitive for design optimization tasks. To address this challenge, we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain.","we envision a 3D design assistance system for design exploration with performance assessment in the automotive domain. Recent advances in deep learning methods for learning geometric data are a promising step towards realizing such systems. by coupling the surrogate models to the autoencoders, we enable engineers to explore designs taking into account the estimated performance on different domains.",Analyzed by PDF Analyzer on 2025-10-22,
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,,,,,"Throughout the development lifecycle of a GUI application, various artifacts are produced, with UI/UX designs being particularly significant alongside source code, especially in the industrial production environments of large companies. UI/UX designs are crucial as they define the intended appearance and behavior of the application before implementation. Model-based testing (MBT) is an effective approach for this purpose. MBT uses abstract models to represent the expected behavior of the GUI, helping identify and address issues to maintain high-quality user experiences.","GUI models encapsulate the desired visual appearance and interactive behaviors of applications, facilitating various downstream tasks like model-based testing (MBT). Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Corporation S, a large global company whose applications are widely used, provided design documents for four commercial applications.","DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Furthermore, in design documents, there are also texts that serve as expressions specifying transition types, conditions, etc. To capture this textual information, we utilize the OCR technique.","SAM is a foundational CV model tailored for image segmentation tasks. Trained on massive datasets, it has achieved outstanding results in zero-shot image segmentation tasks without re-training or fine-tuning. In our implementation, we utilize the VGG model to extract the embeddings of the GUI screens. VGG is a deep-learning model and is demonstrated wide applicability in various visual tasks.","In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model generation. Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. Subsequently, the identified content is transformed into a formal GUI model adhering to the IFML modeling language.","In this paper, a novel approach named DemGen is proposed to seek a unique pathway for GUI model generation. Leveraging design documents, DemGen employs computer vision pre-trained models in conjunction with a rule-based correction mechanism to identify GUI elements and their intended behaviors as defined in those documents. We implemented DemGen into a tool and successfully integrate it into a real-world industrial environment.","GUI models encapsulate the desired visual appearance and interactive behaviors of applications, facilitating various downstream tasks like model-based testing (MBT). Model-based testing (MBT) is an effective approach for this purpose. MBT uses abstract models to represent the expected behavior of the GUI, helping identify and address issues to maintain high-quality user experiences. For MBT, the test cases are generated automatically from the IFML model.",Analyzed by PDF Analyzer on 2025-10-22,
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,,,,,"In modern industry and smart manufacturing, industries are being reshaped by two forces: the power of crowds and artificial intelligence (AI) represented by large language models (LLMs). Under these two forces, the fields of engineering design and product innovation design are rapidly developing along two paths: crowd intelligence innovation (CII) represented by the Problem–Solution (P-S) Co-evolution Model, and AI-Generated Content (AIGC), which utilizes AI technology to generate content.","This study extracts the above design concepts from 39,463 patents to form the technical domain set T (|T|=582), the physical structural domain set S (|S|=4420), and the functional domain set F (|F|=24246). Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office.","Knowledge-based design (KBD) combined with design cognition (DC) mostly utilizes data sources in the form of natural language text. In this study, Chinese invention patents are selected as the knowledge source, and the relevant data can be downloaded from the Patent Data Service Pilot System of the State Intellectual Property Office. In this study, the full text of patent text is utilized to train the Skip-gram model so as to obtain the contextual semantic vectors of all the relevant knowledge elements.","Based on the topic model, a statistical model widely used in semantic analysis and text mining, ConceptTM, is proposed to generate a set of physical structures containing implicit connections for a given technical field and functional requirements. ConceptTM adopts the PGM, especially the infrastructure of the topic model, to systematically express the complex and implicit correlations among physical structures. The modeling thinking of the probabilistic topic model is to regard the text as the probability distribution of the topic; that is, each text is composed of several topics, and the topic is regarded as the probability distribution of words.","ConceptTM, a generative reasoning method, can perform Bayesian reasoning according to the given technical field and function to obtain the qualified physical set; G-Designer, a generative reasoning method, can mine their hierarchical relationships based on a given physical set to generate the design of the product architecture.","This study proposes a method based on design cognition and knowledge reasoning. Firstly, through the problem formulation, a generative universal domain design framework and knowledge base are constructed. Secondly, the knowledge-based discrete physical structure set generation method and system architecture generation method are proposed. Finally, the application tool Intelligent Design Assistant (IDA) is developed, verified, and discussed through an engineering design case.","The product concept generation process into two phases: the first phase is responsible for discrete physical structure reasoning, and the second phase is responsible for physical structure relationship reasoning and interpretation to obtain a complete knowledge of the system architecture.",Analyzed by PDF Analyzer on 2025-10-22,
96,96_Product Innovation Design Method Based on BP Neural Network,,,,,"Product design is the core content of industrial design, the materialized embodiment of consumer demand, and the material basis for the survival and development of enterprises. Therefore, product innovation design is of great significance to consumers, enterprises, and even the country. By morphological analysis, the sweeping robot is divided into body panel, operation panel, handle, and power button, and subdivided into 11 categories.","Product modeling is decomposed into design elements by morphological analysis to establish product attribute space. By morphological analysis, the sweeping robot is divided into body panel, operation panel, handle, and power button, and subdivided into 11 categories. Product attribute space focuses on the modeling semantics of products.","Through e-commerce platform, Internet, magazines, and other channels, 100 perceptual words and 200 images of sweeping robots are collected. Using the card analysis method, three dimensions of texture, personality, and volume are selected to describe the semantics of the sweeping robot. Taking the images in MS-COCO dataset as the content map, the dataset contains 121 class objects, totaling 358,000 images.","KENPI method combines the theories of Kansei engineering, convolutional neural network, and neural style transfer, and establishes a mapping model between product modeling elements and product semantics. Convolutional neural network and neural style transfer model are used to extract, reconstruct, and integrate the color features of style diagrams, and transfer them to product modeling to design new product images.","In this paper, a generative product design method, KENPI method, is proposed, which mainly includes mapping model construction, style transfer model construction, and transfer result analysis. BP neural network is used to construct the nonlinear mapping model of product modeling element space and product perceptual semantic space. The trained model is used to predict the product semantics in content maps and guide the selection of style maps. A generative innovative design method of KENPI products is proposed, which can automatically identify, extract, and reconstruct the content and color features of images, and transfer them to the product modeling in the content map to realize the real-time generation of new product images.","Convolutional neural network and neural style transfer model are used to extract, reconstruct, and integrate the color features of style diagrams, and transfer them to product modeling to design new product images.","In this paper, a generative product design method, KENPI method, is proposed, which mainly includes mapping model construction, style transfer model construction, and transfer result analysis. The color features of images are reconstructed and integrated, and then transferred to product modeling, so as to generate new products with both content image modeling features and style image color features, which brings visual inspiration to users.",Analyzed by PDF Analyzer on 2025-10-22,
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,,,,,The design of strongly coupled multidisciplinary engineering systems is challenging since it is characterized by the complex interaction of different disciplines. The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.,"The design of multi-physics engineering systems requires a high volume of design parameters derived from complicatedly interacting disciplines. This research provides a framework of CNN-based deep surrogate model (DSM), developing a novel input structure called physics-informed artificial image (PiAI). The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.","This research mainly considers image-based inputs that consist of three channels of R, G, and B properties. Even though the proposed framework focuses on image-based inputs, it is also feasible to employ vectorized data to predict system behavior.","Among those various DL algorithms, convolutional neural networks (CNNs) are broadly used in surrogate modeling because of their effectiveness in representing the spatial correlation between data. The spatial correlation representation has the most potent efficiency in image-to-image surrogate modeling.",The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor. This research develops a CNNs-based DSM to predict surface current density at the resonance frequency under the thickness uncertainty and structural deformation. DSM effectively estimated the stress distribution without repeated FEA simulations.,"this research proposes a framework of CNN-based deep surrogate model (DSM), developing a novel input structure called physics-informed artificial image (PiAI). The proposed framework's efficacy and applicability are addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.","The design of strongly coupled multidisciplinary engineering systems is challenging since it is characterized by the complex interaction of different disciplines. Surrogate models, thus, can provide a tractable alternative to arduous physics-based simulations or experiments. The applicability and efficacy of the framework will be addressed in practical engineering design applications: a cantilever beam and a stretchable strain sensor.",Analyzed by PDF Analyzer on 2025-10-22,
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,,,,,"This signals a future in AI-augmented engineering design where the robust capabilities of AI technologies integrate with human creativity and innovation, creating a dynamic interactions to redefine how we tackle design challenges.","This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. A requirement in a document describes the problem statement, customer needs, or background of a design problem. A function represents the functional property of a proposed product in the conceptual design process. Solutions are the concepts generated from the design process based on customer needs and proposed functions.","With the objective of exploring the difference in performance between the finetuned BERT model and ChatGPT, a domain-specific phrase-level dataset collected from 43 design reports (Qiu et al., 2023) is employed. This domain-specific dataset, originally used for finetuning the BERT-base model, consists of 1247 sequences categorized into three classes","Large Language Models (LLMs), like ChatGPT, have sparked considerable interest among researchers across diverse disciplines owing to their remarkable text processing and generation capabilities. This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system.","For engineering designers reading a document, it can take a long time to grasp the key points about the design and the inner conceptual structure of the document. The design information and the reasoning about customer needs, functional requirements, and design solution concepts can be scattered throughout the document, and their relations can be implicitly embedded. Therefore, capturing essential information and understanding it by mapping it to designers' understanding can be helpful for designers. This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system.",This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. our ongoing research seeks to develop a document-understanding-based intelligent design support system called DocUDS.,"our research on developing an intelligent system for design support, we seek to apply large language models to 'understand' given engineering documents and provide the needed support for engineers to quickly grasp the major design-related points of the documents without spending time to read them. One primary issue in building such a system is choosing a proper large language model from the available ones, such as BERT and ChatGPT.",Analyzed by PDF Analyzer on 2025-10-22,
184,184_Interaction Design With Multi-Objective Bayesian Optimization,,,,,This article examines how AI can facilitate the process of interaction design by offloading some of the complex decision making required of designers. We study how multi-objective Bayesian optimization can be used to support designers when creating a tactile display for smartwatches. Designers were asked to tackle a classic problem in human–computer interaction—designing vibration cues for a haptic wearable display.,"We calculate recognition accuracy as ncorrect/n where ncorrect is the number of trials in which the correct response is matched with the given stimulus, and n is the total number of trials.","Minimum duration time of the vibration [50 ms, 950ms]. Number of discrete vibration duration levels {1,2,3,4}. Minimum amplitude of vibration [0g, 1.45g]. Number of discrete amplitude levels {1,2,3,4}.",Bayesian optimization is a machine learning technique for performing optimization of black-box functions. It works by constructing a surrogate model of the unknown function and selecting new points to evaluate with reference to this model. Each new observation improves the estimate of the model and thereby the understanding of where promising points are likely to lie.,This article examines how AI can facilitate the process of interaction design by offloading some of the complex decision making required of designers. We study how multi-objective Bayesian optimization can be used to support designers when creating a tactile display for smartwatches. Bayesian optimization constructs a surrogate model of this unknown function and leverages this model to intelligently determine a promising new point in the design space to evaluate. MOBO significantly reduces designers' perceived overall workload while successfully assisting the designers in identifying promising design candidates.,"designers completed the same design exercise twice: first using their own preferred design strategy, and second in collaboration with MOBO. Given the workshop approach, we focus primarily on observations regarding the designers' experience of the design procedure","Each design iteration would include both practice and test modes. When the test session of a particular design configuration was completed, the designer was shown the recognition accuracy and the number of cues. The designers familiarized themselves with the task and devised a study plan in the first hour of the session. The study plan was then executed in the remaining two hours.",Analyzed by PDF Analyzer on 2025-10-22,
186,186_User emotion recognition and indoor space interaction design a CNN model optimized by multimodal weighted networks,,,,,"Interaction design, as a comprehensive discipline, focuses primarily on enhancing the user experience. Presently, interaction design within interior spaces seamlessly merges design with technology. This integration leverages cutting-edge technologies like artificial intelligence, sensors, and interactive projection, among others, facilitating the fusion of users with the interior environment. The objective is to offer interior space designs that are more accessible, interactive, and tailored to individual preferences.","Users predominantly express emotions through multiple languages, facial expressions, and body language, so relying solely on a singular perspective for emotion recognition appears limited. Our approach harnesses the user's facial expression, mouth shape, and body features extracted from the visual emotion recognition network as inputs into the multimodal weighting network.","For video dataset HMDB, key frames or video fragments are extracted. For the image dataset CK+, the image file is loaded directly.","Intherealmofdeeplearning,convolutionalneuralnetworks(CNNs)(Zhang,Zhang&Wang,2023)haveemergedasaformidabletoolforimageprocessing.Theirstrengthliesinthe robust feature extraction capabilities embedded within their convolutional kernels,which have found widespread applications in tasks ranging from intricate image processing, pattern recognition, to feature extraction.","This classifier adeptly extracts emotional cues from various facets like mouth shape, facial expressions, body language, and more, facilitating the prediction of a user's emotional state. This predictive capacity, in turn, contributes significantly to enhancing user experiences within interior interaction design. This comprehensive understanding allows for a nuanced interpretation of users' emotional states and preferences, facilitating personalized and efficient services. By monitoring users' visual responses, designers can discern which design elements evoke positive emotions like pleasure, excitement, or comfort and negative emotions such as dissatisfaction, despondency, or fatigue.","This study introduces a deep learning-based multimodal weighting network model to address this challenge. The model initiates with a convolutional attention module, employing a self-attention mechanism within a convolutional neural network (CNN). As a result, the multimodal weighting network model is integrated to optimize weights during training. Finally, a weight network classifier is derived from these optimized weights to facilitate visual emotion recognition. Experimental outcomes reveal a 77.057% correctness rate and a 74.75% accuracy rate in visual emotion recognition.","This study introduces a deep learning-based multimodal weighting network model to address this challenge. The model initiates with a convolutional attention module, employing a self-attention mechanism within a convolutional neural network (CNN). As a result, the multimodal weighting network model is integrated to optimize weights during training. Finally, a weight network classifier is derived from these optimized weights to facilitate visual emotion recognition. Experimental outcomes reveal a 77.057% correctness rate and a 74.75% accuracy rate in visual emotion recognition.",Analyzed by PDF Analyzer on 2025-10-22,
82,82_A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,,,,,help industrial designers and manufacturers re-evaluate their product design to improve consumer satisfaction. Product designers need to fully understand consumers' emotional preferences and responses for product forms to improve products. this research proposes a product form design decision-making method driven by user Kansei images based on natural language processing and grey theory.,"product evaluation method that combines natural language processing techniques and fuzzy multi-criteria decision-making into a new integrated way to reduce the cognitive difference between users and designers, so as to solve the problem of cognitive asymmetry. This was done firstly by obtaining the review data of products from users on the Internet, based on a web crawler, and then constructing word vectors based on natural language processing techniques to realize the parametric expression of the Kansei image. Secondly, by using a statistical method to extract the product scheme that meets the preferences of users and designers, and then quantifying the relationship between the product form and Kansei image based on a grey relational analysis (GRA).","Customer reviews are collected from the two most popular mainstream e-commerce websites (Taobao, JingDong). Then, we searched for the smart capsule coffee machine that users prefer based on the most recent year's sales and the number of reviews as a test sample. In the review page, this study used the web crawler tool Jieba to capture the text content of the reviews... interviews between experts and designers were used to investigate the semantic space of related perceptual images corresponding to the samples, and 20 smart capsule coffee machine products samples were processed in A4 size, and the resolution was set to a uniform 100 dpi, and the background was removed to make the samples clear.","Word2Vec, as a more prominent method, was first developed by Google's Tomas Mikolov et al. [63]. It was proposed in 2013 by using the middle layer parameters of the model to convert natural language vocabulary from the one-hot form into a word vector model represented by a fixed-length dense vector. The semantic logical relationship between words can be reflected by the correlation between word vectors. Essentially, this model is a word prediction model based on the core algorithm of a neural network (Figure 2).","Finally, by calculating the indicator weight based on the Entropy method and using the fuzzy TOPSIS method to explore the prioritization of the product design alternatives in view of the Kansei needs of users. Moreover, the fuzzy TOPSIS method is used to complete the product priority ranking based on user preferences.","the concept generation and evaluation of a product design are two key steps to obtain the optimal design result in the product design stage, where the former could generate possible design concepts and the latter could determine the final selection of candidate design schemes","the design team need to consider various factors from customer needs, technical attributes and design constraints, and then develop appropriate evaluation models to determine the priority ranking of the candidate design options. As a gatekeeper, the impact of design concept evaluation on the novelty, feasibility and quality of the final product is extremely important. In essence, the product innovation design scheme is a typical multi-attribute comprehensive decision-making problem (MCDM), which is essentially a multi-objective, multi-level, and uncertain complex decision-making process.",Analyzed by PDF Analyzer on 2025-10-22,
