index,filename,pdf_found,sheets_matched,sheets_updated,row_number,error,timestamp
23,23_The TrollLabs open hackathon dataset Generative AI and large language models for prototyping in engineering design.pdf,True,True,False,24,,2025-10-15T11:11:05.618789
28,28_Using Artificial Intelligence Image Generators in Product Design Within Industry 4.0.pdf,True,True,False,29,,2025-10-15T11:11:05.618832
29,29_Deep reinforcement learning for engineering design through topology optimization of elementally discretized design domains.pdf,True,True,False,30,,2025-10-15T11:11:05.618844
101,101_How to obtain customer requirements for each stage of the product life cycle from online reviews Using mobile phones as an example.pdf,True,True,False,102,,2025-10-15T11:11:05.618853
123,123_NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN.pdf,True,True,False,124,,2025-10-15T11:11:05.618862
125,125_Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0.pdf,True,True,False,126,,2025-10-15T11:11:05.618888
128,128_Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI).pdf,True,True,False,129,,2025-10-15T11:11:05.618896
129,129_Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AIML Algorithms.pdf,True,True,False,130,,2025-10-15T11:11:05.618904
130,130_Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design.pdf,True,True,False,131,,2025-10-15T11:11:05.618912
132,132_Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches.pdf,True,True,False,133,,2025-10-15T11:11:05.618920
134,"134_Graph models for engineering design Model encoding, and fidelity evaluation based on dataset and other sources of knowledge.pdf",True,True,False,135,,2025-10-15T11:11:05.618928
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems.pdf,True,True,False,136,,2025-10-15T11:11:05.618936
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning.pdf,True,True,False,137,,2025-10-15T11:11:05.618944
138,138_Research on design forms based on artificial intelligence collaboration model.pdf,True,True,False,139,,2025-10-15T11:11:05.618952
139,139_A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components.pdf,True,True,False,140,,2025-10-15T11:11:05.618961
141,"141_Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques.pdf",True,True,False,142,,2025-10-15T11:11:05.618968
143,143_Plan-Based Derivation of General Functional Structures in Product Design.pdf,True,True,False,144,,2025-10-15T11:11:05.618976
144,144_Machine learning for topology optimization Physics-based learning through an independent training strategy.pdf,True,True,False,145,,2025-10-15T11:11:05.619005
145,145_Decision-Making with Probabilistic Reasoning in Engineering Design.pdf,True,True,False,146,,2025-10-15T11:11:05.619014
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems.pdf,True,True,False,147,,2025-10-15T11:11:05.619024
147,147_SplineLearner Generative learning system of design constraints for models represented using B-spline surfaces.pdf,True,True,False,148,,2025-10-15T11:11:05.619032
148,148_Integrating and navigating engineering design decision-related knowledge using decision knowledge graph.pdf,True,True,False,149,,2025-10-15T11:11:05.619041
149,149_The form of AI-driven luxury how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process.pdf,True,True,False,150,,2025-10-15T11:11:05.619049
150,150_Configuration-Based Smart Customization Service A Multitask Learning Approach.pdf,True,True,False,151,,2025-10-15T11:11:05.619058
152,152_Digital servitization of symbiotic service composition in product-service systems.pdf,True,True,False,153,,2025-10-15T11:11:05.619066
153,153_Collaborative Decision-Making Assistant for Healthcare Professionals A Human-Centered AI Prototype Powered by Azure Open AI.pdf,True,True,False,154,,2025-10-15T11:11:05.619075
155,155_Impaction of Artificial Intelligence on Interaction Design.pdf,True,True,False,156,,2025-10-15T11:11:05.619083
156,156_PIKAR A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design.pdf,True,True,False,157,,2025-10-15T11:11:05.619090
