Index,Article_Title,Category,Reference_Text_Preview,Found,Page_Numbers,Match_Confidence,Verification_Method,Issue_Type,Full_Reference_Text,Notes,Timestamp
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,Data Modality,We set out to develop a phrase/sentence generator trained on Ubuntu community support dataset (opens...,Y,LOCAL,80,PARTIAL,NONE,"We set out to develop a phrase/sentence generator trained on Ubuntu community support dataset (opensource), which yielded poor results. We then implemented a sentence generator trained on a transcript of design sessions involving practicing engineering designers working on a defined task.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:49.865827
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,Design Phase,"In the study, the product was not manufactured, but only designed and the technological processes pl...",Y,LOCAL,80,PARTIAL,NONE,"In the study, the product was not manufactured, but only designed and the technological processes planned. The mini refrigerator has the shape of a cuboid with the dimensions of 60×40×35 cm. The design incorporated one generator and two thermostats for multiple temperature zones. A product design was developed that is highly recyclable and environmentally friendly. An ecological analysis of the designed product, including AI-based (artificial neural networks), was carried out.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:55.459762
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,AI methods,"The study used a three-layer forward neural network (Figure 4), a back propagation (BP) algorithm as...",Y,LOCAL,80,PARTIAL,NONE,"The study used a three-layer forward neural network (Figure 4), a back propagation (BP) algorithm as a popular gradient-based local search optimization technique, a Perceptron Linkage Optimization set for minimal multi-layer diagnostics focused on setting the mean squared error (MSE), and naive initialization techniques. An MLP-type network (multi-layer perceptron) performs a mapping of an n-dimensional input vector to an m-dimensional output signal, typically using a single hidden layer with up to 3n neurons.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:55.580282
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,Design Discipline,This work constitutes a preliminary study to evaluate the possible ways in which product designers a...,Y,LOCAL,80,PARTIAL,NONE,"This work constitutes a preliminary study to evaluate the possible ways in which product designers and other practitioners may make use of these generative technologies to empower their shape exploring creative processes in conceptual design stages. This work contributes to the field of Computer Aided Conceptual Design by providing a comprehensive comparison of technical workflows between Shape Grammars as a generative paradigm for creativity and Text-to-Image generative models. Shape Grammars have been commonly used in computer-aided design (CAD), architecture, and urban planning to create designs and layouts following a set of predefined rules, but also in product design.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:57.335139
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,AI methods,This preliminary research presents a comparative study between Text-to-Image AI models and Shape Gra...,Y,LOCAL,80,PARTIAL,NONE,"This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The introduction of Denoising Diffusion Probabilistic Models (Ho et al., 2020; Sohl-Dickstein et al., 2015), or simply diffusion models, was another crucial step in the development of image generation AI models. Diffusion models became very popular by 2022, when some of the most used AI models were made public. DALL-E2, Imagen, Midjourney, and Stable Diffusion.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:57.398870
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,Design Practice/Task,This preliminary research presents a comparative study between Text-to-Image AI models and Shape Gra...,Y,LOCAL,80,PARTIAL,NONE,"This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design.",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:57.475262
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,Design Phase,the concept generation and evaluation of a product design are two key steps to obtain the optimal de...,Y,LOCAL,80,PARTIAL,NONE,"the concept generation and evaluation of a product design are two key steps to obtain the optimal design result in the product design stage, where the former could generate possible design concepts and the latter could determine the final selection of candidate design schemes",Found via local text search (partial match - first 50 chars),2025-11-28T16:02:57.521461
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,Design Discipline,"Equipment product design is a crucial task in modern engineering, its performance and effectiveness ...",Y,CANDIDATES,95,EXACT,NONE,"Equipment product design is a crucial task in modern engineering, its performance and effectiveness directly affect the quality, efficiency and safety of industrial production. However, traditional equipment product design methods are often limited by experience and trial-and-error, suffer from time-consuming, resource-wasting and high-cost problems",,2025-11-28T16:03:18.522578
130,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,Data About,The authors examine Buick front view geometries for 13 thematic eras ranging from 1939 to 2002 plus ...,Y,CANDIDATES,98,EXACT,NONE,"The authors examine Buick front view geometries for 13 thematic eras ranging from 1939 to 2002 plus concept designs, and then extract the Buick grammar from them. This comprehensive grammar is validated reproducing existing Buick models, and then used as a creative exploratory tool to generate new designs.",,2025-11-28T16:03:19.434018
182,Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,Design Phase,"we demonstrate a way to develop a class of AI systems, the Disruptive Interjector (DI), which observ...",Y,CANDIDATES,95,PARAPHRASE,NONE,"we demonstrate a way to develop a class of AI systems, the Disruptive Interjector (DI), which observe what a human is doing, then interject with suggestions that aid in ideageneration or problem solving in a human-AI (H-AI) team",,2025-11-28T16:03:20.151148
