Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,
472,DeepMorpher: deep learning-based design space dimensionality reduction for shape optimisation,"Abbas, Asad; Rafiee, Ashkan; Haase, Max",JOURNAL OF ENGINEERING DESIGN,2023,"In engineering design optimisations, the dimensionality of the design space plays a critical role in determining the number of computationally expensive evaluations required to explore the design space and reach convergence. Dimensionality reduction allows engineers to represent high-dimensional design spaces in a more compact form to reduce the computational cost while retaining design flexibility. In order to reduce the dimensions of design space for shape optimisation problems, we propose a deep learning-based architecture named DeepMorpher. Our proposed architecture is a PointNet-based encoder-decoder network, which can directly be trained on 3D point-cloud geometries, and generate simulation-ready high-quality geometries without any pre-processing or post-processing steps. Our proposed DeepMorpher can work with multiple baseline templates and allows explainability and disentanglement of learned low-dimensional latent space through sampling, interpolation and feature space visualisation. To evaluate our approach, we created an engineering dataset consisting of 3D ship hull designs. The quantitative and qualitative experimentation results of the present study demonstrate that DeepMorpher can outperform previous state-of-the-art autoencoder-based shape-generative models by several orders of magnitudes. To demonstrate the high representation capacity and compactness of learned low-dimensional latent space, we employed DeepMorpher within a simulation-based design optimisation framework to perform a real-world constrained multi-objective optimisation to find optimal ship hull designs.",http://dx.doi.org/10.1080/09544828.2023.2192606,ENGINEERING,Y,"DeepMorpher for engineering shap design optimization, very specific ship hull design",
602,Exploring User Preferences in Al-Generated Car Wheel Frame Designs: A Preliminary Study of Users with Varied Design Experience,"Lee, Yu-Hsu; Huang, Hsin-Wei","HUMAN INTERFACE AND THE MANAGEMENT OF INFORMATION, PT I, HIMI 2024",2024,"This study explores the application of AI in a specific product design field and investigates the differences between individuals with professional and non-professional backgrounds. Using wheel rim design as an example, the study illustrates the preferences and perceptual differences of participants with varying backgrounds and experiences towards elements like style, color, layout, and design, as presented by AI image generation tools (such as Midjourney). The choices are categorized into two aspects: creativity and feasibility. In this experiment, participants were divided into wheel rim experts and non-experts (with non-experts further categorized into those with and without design experience). Non-expert participants were first asked to create designs using AI, followed by both experts and non-experts selecting proposals for creative and feasible sporty and luxurious style car wheel rims. The study found that individuals without design experience tended to show more creativity in their ideas when using AI tools, but their targeted selections lacked consistency. In contrast, participants with a design background were more consistent in their choices, particularly in the assessment of feasibility. There is a noticeable difference between experts and non-experts in defining style, with experts making more informed choices when targeting specific selections. In summary, both experts and non-experts are capable of creating designs with creativity and feasibility using AI tools. However, experts, compared to those with design experience, have a clearer personal opinion on styling, while those without design experience show the least effective outcomes.",http://dx.doi.org/10.1007/978-3-031-60107-1_13,ENGINEERING,N,AI image generation for wheel rims,
603,Knowledge-Assisted Optimization for Large-Scale Design Problems: A Review and Proposition,"Wu, Di; Wang, G. Gary",JOURNAL OF MECHANICAL DESIGN,2020,"Practicing design engineers often have certain knowledge about a design problem. However, in the last decades, the design optimization community largely treats design functions as black-boxes. This paper discusses whether and how knowledge can help with optimization, especially for large-scale optimization problems. Existing large-scale optimization methods based on black-box functions are first reviewed, and the drawbacks of those methods are briefly discussed. To understand what knowledge is and what kinds of knowledge can be obtained and applied in a design, the concepts of knowledge in both artificial intelligence (AI) and in the area of the product design are reviewed. Existing applications of knowledge in optimization are reviewed and categorized. Potential applications of knowledge for optimization are discussed in more detail, in hope to identify possible directions for future research in knowledge-assisted optimization (KAO).",http://dx.doi.org/10.1115/1.4044525,ENGINEERING,R,"Review, but nice discussion of the AI use in crucial phases of design.",Y->R
604,Knowledge-driven material design platform based on the whole-process simulation and modeling,"Peng, Gongzhuang; Li, Tie; Zhai, Xiang; Liu, Wenzheng; Zhang, Heming",INTERNATIONAL JOURNAL OF MODELING SIMULATION AND SCIENTIFIC COMPUTING,2022,"In order to realize the agility, collaboration and visualization of alloy material development process, a product development platform based on simulation and modeling technologies is established in this study. In this platform, the whole-process simulation module builds multi-level simulation models based on metallurgical mechanisms from the production line level, the thermo-mechanical coupling field level and the microstructure evolution level. The design knowledge management module represents the multi-source heterogeneous material design knowledge through ontology model, including customers' requirement knowledge, material component knowledge, process design knowledge and quality inspection knowledge, and utilizes the case-based reasoning approach to reuse the knowledge. The data-driven modeling module applies machine learning algorithms to mine the relationships between product mechanical properties, material components, and process parameters from historical samples, and utilizes multi-objective optimization algorithms to find the optimal combination of process parameters. Application of the developed platform in actual steel mills shows that the proposed method helps to improve the efficiency of product design process.",http://dx.doi.org/10.1142/S179396232241001X,ENGINEERING,N,"Material engineering, specific for alloy manufacturing",
605,Towards Incompressible Laminar Flow Estimation Based on Interpolated Feature Generation and Deep Learning,"Le, Thi-Thu-Huong; Kang, Hyoeun; Kim, Howon",SUSTAINABILITY,2022,"For industrial design and the improvement of fluid flow simulations, computational fluid dynamics (CFD) solvers offer practical functions and conveniences. However, because iterative simulations demand lengthy computation times and a considerable amount of memory for sophisticated calculations, CFD solvers are not economically viable. Such limitations are overcome by CFD data-driven learning models based on neural networks, which lower the trade-off between accurate simulation performance and model complexity. Deep neural networks (DNNs) or convolutional neural networks (CNNs) are good illustrations of deep learning-based CFD models for fluid flow modeling. However, improving the accuracy of fluid flow reconstruction or estimation in these earlier methods is crucial. Based on interpolated feature data generation and a deep U-Net learning model, this work suggests a rapid laminar flow prediction model for inference of Naiver-Stokes solutions. The simulated dataset consists of 2D obstacles in various positions and orientations, including cylinders, triangles, rectangles, and pentagons. The accuracy of estimating velocities and pressure fields with minimal relative errors can be improved using this cutting-edge technique in training and testing procedures. Tasks involving CFD design and optimization should benefit from the experimental findings.",http://dx.doi.org/10.3390/su141911996,ENGINEERING,N,U-Net based deep learning model for CFD simulation. Not exactly design. But could be incoporated in the pipeline.,
609,Rapid Airfoil Inverse Design Method with a Deep Neural Network and Hyperparameter Selection,"Tyan, Maxim; Choi, Cheol-Kyun; Nguyen, Tuan Anh; Lee, Jae-Woo",INTERNATIONAL JOURNAL OF AERONAUTICAL AND SPACE SCIENCES,2023,"A deep-learning based rapid engineering design (DL-RED) algorithm is developed and presented for solving engineering inverse design problems. The algorithm generates an inverse design deep neural network (IDNN) by performing a two-stage hyperparameter selection and iteratively enhancing training database. The initial hyperparameter selection defines the configuration of IDNN that increases the accuracy of inverse design and reduces the network training time. Then database enhancement loop refines the training database by iteratively adding new samples to initial database based on results of validation. After the training database is generated the final hyperparameter selection is performed. A construction of Airfoil inverse design neural network is demonstrated in this paper. The Airfoil-IDNN generates a NACA 4-series airfoil that corresponds to target aerodynamic parameters given as an input. During the database enhancement loop the validation mean squared error has reduced to 57.37%, and totally to 96.48% after the final hyperparameter selection. The accuracy of the Airfoil-IDNN was demonstrated using two case studies. The first case study shows how accurate the network can generate an airfoil with arbitrary input parameters. The second one shows whether the IDNN can generate existing airfoils by a set of target parameters.",http://dx.doi.org/10.1007/s42405-022-00507-x,ENGINEERING,N,"specific airfoil inverse design, AI-aided design from target objective to shape",
610,Research on multi-objective optimisation of product form design based on kansei engineering,"Tang, Wen-Yu; Xiang, Ze-Rui; Ding, Tie-Cheng; Zhao, Xiao; Zhang, Quan; Zou, Rui",JOURNAL OF ENGINEERING DESIGN,2024,"It is crucial to understand and meet the multi-dimensional affective image needs of users for product form in a user demand-oriented product development model. Multi-objective evolutionary algorithms based on decomposition will be introduced into the field of kansei engineering to carry out research on product form optimisation design based on multi-objective evolutionary algorithms. A constrained multi-objective discrete optimisation model was established using the kansei engineering prediction model constructed through machine learning techniques as the objective function, and a reference vector guided evolutionary algorithm was used to solve it. The superiority of this method was verified by comparing it with other commonly used solving methods in this field. Combining entropy weight method and TOPSIS, select the optimisation design scheme that best meets the multi-dimensional affective needs of users from the obtained pareto set. Taking the train as an example, the proposed method was explained. The results indicate that the optimisation scheme obtained by this method can achieve the improvement and optimisation of product form in multiple affective dimensions. Meanwhile, a comparative study on the applicability of multi-objective evolutionary algorithms in the form optimisation problem of different affective dimensions is carried out to provide reference and suggestions for subsequent product design research.",http://dx.doi.org/10.1080/09544828.2024.2355762,ENGINEERING,Y,AI for property trade off in product design,
612,Design-Variable Hypernetworks for Flowfield Emulation and Shape Optimization of Compressor Airfoils,"Duvall, James; Joly, Michael; Duraisamy, Karthik; Sarkar, Soumalya",AIAA JOURNAL,2024,"Deep-learning-based flow emulators are used to predict the flowfield around parametrically defined airfoils and then used in place of Reynolds-averaged Navier-Stokes solvers in design optimization. The flow emulators are based on a) decoder convolutional neural networks, which generate solution snapshots in the computational domain, and b) design-variable hypernetworks, which provide pointwise predictions in physical space. The flow emulators are used to predict parametric subsonic and transonic compressor flows in an industrial design use case with baseline geometry corresponding to the NASA rotor 37. Both methods are effective in representing unseen subsonic airfoil flowfields, with mean errors less than 1%. The hypernetwork-based method generalizes more effectively under transonic conditions and is used in place of computational fluid dynamics (CFD) to drive shape optimization at varying rotor speeds. Under transonic conditions and at nominal speed, the emulator-driven optimization achieves the same optimal design as CFD in a reduced number of iterations at a fraction of the online computational cost while providing similarly performing designs at off-nominal conditions. It is remarked that once the emulator is trained once offline, it can be used online to conduct many different design optimizations, e.g., with different objective functions, constraints, and tradeoffs. These results establish the utility of design-variable hypernetworks as a viable emulation and optimization tool in practical industrial design.",http://dx.doi.org/10.2514/1.J063156,ENGINEERING,N,"Aerodynamic specific, AI surrogate modeling for traditional CFD",
613,Predicting Mechanical Properties of Boron Nitride Nanosheets Obtained from Molecular Dynamics Simulation: A Machine Learning Method,"Pan, Jiansheng; Liu, Huan; Zhu, Wendong; Wang, Shunbo; Gao, Xifeng; Zhao, Pengyue",CRYSTALS,2024,"Obtaining the mechanical properties of boron nitride nanosheets (BNNSs) requires extensive computational atomistic simulations, so it is necessary to predict to reduce time costs. In this work, we obtained the ultimate tensile strength and Young's modulus of the BNNS material through molecular dynamics (MDs) simulations by taking into account factors, such as the BNNSs' chirality, layer number, ambient temperature, and strain rate. Subsequently, employing comprehensive training and optimization of the MDs data, we developed multiple ML models to estimate the ultimate tensile strength and Young's modulus. Among these models, the random forest model was chosen for its accurate prediction of the mechanical properties of the BNNSs, offering significant benefits for performance analysis and the engineering design of two-dimensional nanomaterials resembling BNNSs. Finally, based on the predicted results of the ML models, we propose a predictive model for the mechanical properties of the BNNSs, which serves as a valuable reference for future research endeavors.",http://dx.doi.org/10.3390/cryst14010052,ENGINEERING,N,Upstream modeling.,
616,FRAMED: An AutoML Approach for Structural Performance Prediction of Bicycle Frames,"Regenwetter, Lyle; Weaver, Colin; Ahmed, Faez",COMPUTER-AIDED DESIGN,2023,"This paper demonstrates how Automated Machine Learning (AutoML) methods can be used as effective surrogate models in engineering design problems. To do so, we consider the challenging problem of structurally-performant bicycle frame design and demonstrate across-the-board dominance by AutoML in regression and classification surrogate modeling tasks. We also introduce FRAMED - a parametric dataset of 4500 bicycle frames based on bicycles designed by practitioners and enthusiasts worldwide. Accompanying these frame designs, we provide ten structural performance values such as weight, displacements under load, and safety factors computed using finite element simulations for all the bicycle frame designs. We formulate two challenging test problems: a performance-prediction regression problem and a feasibility-prediction classification problem. We then systematically search for optimal surrogate models using Bayesian hyperparameter tuning and neural architecture search. Finally, we show how a state-of-the-art AutoML method can be effective for both regression and classification problems. We demonstrate that the proposed AutoML models outperform the strongest gradient boosting and neural network surrogates identified through Bayesian optimization by an improved F1 score of 24% for classification and reduced mean absolute error by 12.5% for regression. Our work introduces a dataset for bicycle design practitioners, provides two benchmark problems for surrogate modeling researchers, and demonstrates the advantages of AutoML in machine learning tasks. The dataset and code are provided at http://decode.mit.edu/projects/framed/. (c) 2022 Elsevier Ltd. All rights reserved.",http://dx.doi.org/10.1016/j.cad.2022.103446,ENGINEERING,N,Domain specific for bikes. Early stage evaluation for design decision making.,
