Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Practice/Task,Notes,Questions
Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,"Baule, Daniel de Souza; von Wangenheim, Christiane Gresse; von Wangenheim, Aldo; Hauck, Jean C. R.; Vargas Junior, Edson C.",PROCEEDINGS OF THE 20TH BRAZILIAN SYMPOSIUM ON HUMAN FACTORS IN COMPUTING SYSTEMS (IHC 2021),2021,http://dx.doi.org/10.1145/3472301.3484340,UI/UX Design,Generated,Image,Deep models,Design generation,Develop,"""The Sketch2aia approach employs deep learning to detect the user interface components and their position in a hand-drawn sketch, creating an intermediate representation of the user interface and automatically generating the App Inventor code for the respective wireframe""
""The approach achieves an average classification accuracy of the components of the user interface of 87.72% and results of a preliminary evaluation with users indicate that it generates wireframes that resemble sketches in terms of visual similarity""
""can be used to support the teaching of user interface design effectively and efficiently, as well as the development of mobile applications by end users""",
A User Review Analysis Tool Empowering Iterative Product Design,"Wu, Qi","HCI INTERNATIONAL 2024 POSTERS, PT VI, HCII 2024",2024,http://dx.doi.org/10.1007/978-3-031-61966-3_19,UI/UX Design,Behavioral-based,Text,Traditional ML (shallow models),Sense making,Define,"""Understanding user feedback and improving accordingly is an essential phase in iterative product design""
""This tool is designed to aid developers in rapidly acquiring a qualitative understanding of user experiences regarding product features and topics""
""The user review analysis tool can enable developers to efficiently process and interpret large volumes of user feedback, thereby significantly enhancing the iterative design process with data-driven insights""",
Configuration-Based Smart Customization Service: A Multitask Learning Approach,"Wang, Yue; Li, Xiang; Tsung, Fugee",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,2020,http://dx.doi.org/10.1109/TASE.2020.2986774,Multiple (Insudtrial Design/ Engineering design/ product design + Service Design /System Design/ Business design),Behavioral-based,Text,Deep models (ELMo),"Multiple (Prediction + Decision making (Validation, evaluation))",Define,"""To better address the semantic gap between customers and designers/manufacturers, a new configuration mechanism is proposed that takes into consideration customer needs using natural language as the input and maps them to product specifications in the design stage""
""We collected a massive amount of review text from e-commerce websites and used ELMo, a contextualized word representation based on a deep bidirectional language model, to encode the text""
""Given a new customer's needs in free-form text, the mapping can automatically identify the satisfactory product configurations""",
Exploring the Potential of Chatbots in Extending Tourists' Sustainable Travel Practices,"Majid, Gilang Maulana; Tussyadiah, Iis; Kim, Yoo Ri",JOURNAL OF TRAVEL RESEARCH,2024,http://dx.doi.org/10.1177/00472875241247316,Service Design /System Design/ Business design,Behavioral-based,Text,Gen AI (Conversational AI/Chatbots),"Decision making (Validation, evaluation)",Define,"""Through exploratory qualitative research, this study conceptualizes a chatbot to facilitate pro-environmental behavior spillover among domestic tourists""
""The Service Design approach and Grounded Theory were applied throughout the data collection process involving semi-structured in-depth interviews, focus group discussions and field observations""
""A theoretical model predicting factors that play important roles in adopting the proposed chatbot and its respective nudges was developed""",
Digital servitization of symbiotic service composition in product-service systems,"Chuang, Yen-Ching; Chen, Yee Ming",COMPUTERS IN INDUSTRY,2022,http://dx.doi.org/10.1016/j.compind.2022.103630,Multiple (Engineering design/product design + Service Design/System Design),Generated,Text,Traditional ML (Operations Research + Machine Learning),"Decision making (Validation, evaluation)",Develop,"""Selecting the best combination of services to fulfil customer requirements is the most important issue in the CMfg platform""
""symbiotic simulations to perform efficient service combinations in CMfg, adopting computational algorithms ranging from operations research (OR) to machine learning (ML)""
""symbiotic simulations demonstrate the performance of the approach in terms of reduced combined resources and wait times""",
Collaborative Decision-Making Assistant for Healthcare Professionals: A Human-Centered AI Prototype Powered by Azure Open AI,"Fukizi, Kenneth Yamikani","PROCEEDINGS OF THE ACM SIGCAS/SIGCHI CONFERENCE ON COMPUTING AND SUSTAINABLE SOCIETIES 2023,COMPASS 2023",2023,http://dx.doi.org/10.1145/3588001.3609370,Service Design /System Design/ Business design,Behavioral-based,Text,Gen AI (Azure Open AI),"Decision making (Validation, evaluation)",Develop,"""collaborative decision-making assistant designed to support healthcare professionals in making informed and personalized treatment decisions""
""integration of advanced AI algorithms, explainable AI techniques, and the utilization of mainly Microsoft related technology stacks, including ASP.Net Core and Azure Open AI services""
""commitment to ethical AI practices and responsible AI development, with considerations for fairness, transparency, and mitigating bias in AI algorithms""",
Impaction of Artificial Intelligence on Interaction Design,"Du, Jiamei",2021 2ND INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND INTELLIGENT CONTROL (ICCEIC 2021),2021,http://dx.doi.org/10.1109/ICCEIC54227.2021.00044,UI/UX Design,Perception,Multimodal (Audio + Image + Text),Deep models,Sense making,Define,"""The development of human technology has constantly changed the interaction mode between people and computers""
""The recognition of facial expressions and human body movements can recognize more detailed feature information (such as expression, mental state, skin state, etc.), open more interaction space and provide users with better user experience""
""AI technology has a great impact on interaction design, Chat robot and speech recognition have been applied in many interaction designs""",
PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,"Gong, Yun; Wang, Bingcheng; Rau, Pei-Luen Patrick","CROSS-CULTURAL DESIGN-USER EXPERIENCE OF PRODUCTS, SERVICES, AND INTELLIGENT ENVIRONMENTS, CCD 2020, PT I",2020,http://dx.doi.org/10.1007/978-3-030-49788-0_5,Insudtrial Design/ Engineering design/ product design,Perception,Image,Deep models,Prediction,Develop,"""we present a Pixel-level Image Kansei Analysis and Recognition (PIKAR) system that applies deep learning to extract and analyze the formation of human perception towards product designs automatically""
""Two neural nets trained on 1,414 images, labeled by eight participants based on their perception of kawaii (1-5 Likert Scale), have achieved a better prediction than test persons""
""This work addresses the possibility of applying deep learning to support product design and user experience researches""",
Will artificial intelligence platforms replace designers in the future? analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,"Li, Yu",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2024,http://dx.doi.org/10.1016/j.engappai.2024.109369,Insudtrial Design/ Engineering design/ product design,Perception,Multimodal (Text + Image),Traditional ML (K-means),Multiple (Design generation + Sense making),Define,"""differences in color perception influenced design decision-making outcomes""
""widespread acknowledgment across all groups of the efficiency and inspirational potential of artificial intelligence platforms""
""variations in design education resulted in differing opinions on the replaceability of designers""",
Intelligent emotion recognition in product design using multimodal physiological signals and machine learning,"Zhang, Lekai; Hu, Fo; Liu, Xingyu; Wang, Yingfan; Zhang, Hailong; Liu, Zheng; Yu, Chunyang",JOURNAL OF ENGINEERING DESIGN,2024,http://dx.doi.org/10.1080/09544828.2024.2362589,Industrial Design/ Engineering design/ product design,Physiological,Multimodal (Time Series + Image),"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Prediction,Discovery,"""identifying emotional responses in products is essential for product design and user research""
""accurately identifying user-product emotions using multimodal physiological signals and machine learning techniques""
""collecting various physiological signals (eye movement, electrodermal activity, and pulse)""",
